类型,ID,人物,位置,内容,跳转,效果,目标
#,0,尼安德,左,布莱梅，怎么是你？,1,,
#,1,布莱梅,左,尼安德先生！,2,,
#,2,布莱梅,左,他们果然没说错，你真的是梦境治疗师啊！,3,,
#,3,尼安德,左,他们？,4,,
#,4,布莱梅,左,就是酒店里的主管他们啦，你每天下午都会来买咖啡，大家都好奇你是干什么的。,5,,
#,5,布莱梅,左,之前就有同事说，在这一带见到过你。,6,,
#,6,尼安德,左,原来如此。,7,,
#,7,尼安德,左,虽然有生意上门是好事，但是我的职业比较敏感，大肆传播还是对我有影响的。,8,,
#,8,布莱梅,左,抱歉，这件事我会保密的。,9,,
#,9,尼安德,左,所以……,10,,
&,10,尼安德,左,你来做什么？,15,,
&,11,尼安德,左,你遇上什么情况了吗？,13,,
&,12,尼安德,左,如果只是来确认我的职业，那你已经完成任务了。,14,,
#,13,布莱梅,左,那个，,15,,
#,14,布莱梅,左,不是。,15,,
#,15,布莱梅,左,我是来做入梦治疗的。,16,,
#,16,尼安德,左,这么直接，你确定自己有病？,17,,
#,17,布莱梅,左,有什么问题吗？,18,,
#,18,尼安德,左,挺吃惊的，因为入梦治疗的伦理原因和法律问题等，我们的工作在外面其实不太受欢迎。,19,,
#,19,尼安德,左,这种上来说自己要做入梦治疗的，你是第一个。,20,,
#,20,布莱梅,左,哎？可是你们不是有执照吗？应该不能乱来的吧。,21,,
#,21,布莱梅,左,但是进入各种梦境什么的，感觉尼安德医生就像旅行家一样呢。,22,,
#,22,尼安德,左,……,23,,
#,23,尼安德,左,（要被年轻人的天真打败了。）,24,,
#,24,尼安德,左,入梦治疗的话，首先我得了解你的情况，确定有没有入梦诊断需求。,25,,
#,25,布莱梅,左,大概是从两个月前开始吧，酒店开始要做店庆的布置工作的时候，我经常走神。,26,,
#,26,布莱梅,左,阿拉比主管要叫我好多次，都有点生气了。,27,,
#,27,布莱梅,左,有时候回过神来，发现自己站在酒店门口。,28,,
#,28,布莱梅,左,主管说我在店门口的样子，傻呆呆地看着远处，像被抽走了灵魂一样。,29,,
#,29,布莱梅,左,我得快点治好，店庆要开始了，可不能给主管和客人们添麻烦。,30,,
#,30,尼安德,左,（听上去像是部件老化的样子，还是不要告诉他了吧）,31,,
&,31,尼安德,左,是工作太累了吗？,33,,
&,32,尼安德,左,还有其他的情况吗？,35,,
#,33,布莱梅,左,还好吧，店庆是很忙，但我也没觉得很累。,34,,
#,34,布莱梅,左,如果只是走神就算了，有时候听到客人的话还会昏过去，上次把阿拉比主管都吓坏了。,37,,
#,35,布莱梅,左,还有就是，我有时候听到他们说的话会觉得难受。,36,,
#,36,布莱梅,左,说不上是什么感觉，害怕？恐慌？总之他们说我像是神经错乱了一样。,37,,
#,37,尼安德,左,谁对你说的？说了什么？,38,,
#,38,布莱梅,左,不是对我说的，是客人们之间说的话，有时候会听到“你想去哪里”什么的……,39,,
#,39,布莱梅,左,图灵治乌鲁尔古巴比伦色拉蜻蜓队长……,40,,
#,40,尼安德,左,什么？,41,,
#,41,布莱梅,左,ColumbiaGooseberryMarmaladeArchimedesEyjafjallajokull……,42,,
#,42,布莱梅,左,山卂几几卂ㄥ卂乇V乇爪卂几乇几千尺卂乇尺……,43,,
#,43,尼安德,左,布莱梅！,44,,
#,44,布莱梅,左,……,45,,
#,45,尼安德,左,（布莱梅突然剧烈地颤抖了两下，然后头歪向了一边）,46,,
#,46,尼安德,左,沃靠，这是什么情况？,47,,
#,47,尼安德,左,布莱梅！振作一点！,48,,
#,48,尼安德,左,（虽然我知道仿生人没有死亡一说，但是在眼前上演突发恶疾的画面，是个人都会被吓到吧）,49,,
#,49,尼安德,左,看来可以准备入梦了。,50,,
#,50,尼安德,左,（设备调试中，数据监测无异常……即将启动入梦系统）,51,,
END,51,,,,,,
