类型,ID,人物,位置,内容,跳转,效果,目标
#,0,尼安德,左,嘿，醒醒，不莱梅。,1,,
#,1,布莱梅,左,嗯……？,2,,
#,2,布莱梅,左,啊，尼安德先生，入梦治疗结束了吗？,3,,
#,3,尼安德,左,你想去哪里？,4,,
&,4,布莱梅,左,嗯？我想去哪里？,6,,
&,5,布莱梅,左,我没听懂……！！！我没事了！,6,,
#,6,布莱梅,左,谢谢您，尼安德先生，您真的很厉害！,7,,
#,7,尼安德,左,不客气，回去以后请多休息。,8,,
#,8,尼安德,左,入梦治疗之后有的人可能会有精神兴奋的情况，如果持续睡不着觉，请务必联系我。,9,,
#,9,布莱梅,左,说起来，我刚才做了一个梦。,10,,
#,10,布莱梅,左,我梦到下雨了，一只鸟飞进了雨中。,11,,
#,11,尼安德,左,是真的下雨了。,12,,
#,12,尼安德,左,（布莱梅低头看了一眼手机，差点跳起来）,13,,
#,13,布莱梅,左,糟了，到交班时间了！,14,,
#,14,布莱梅,左,抱歉，我得先走了，等下迟到主管又要生气了。,15,,
#,15,尼安德,左,整理下医疗报告，结束今天的工作吧。,16,,
END,16,,,,,,
