类型,ID,人物,位置,内容,跳转,效果,目标
#,0,机器人,左,（靠，到底要多少次才能习惯这种想呕的感觉）,1,,
#,1,机器人,左,这里是……？,2,,
#,2,机器人,左,看起来像是布莱梅的房间。,3,,
#,3,机器人,左,注意：检测到待修复系统；,4,,
#,4,机器人,左,检测到数据库系统异常；,5,,
#,5,机器人,左,正在进行问题诊断与故障排查……,6,,
#,6,机器人,左,已发现待修复系统：地图。,7,,
#,7,机器人,左,看来布莱梅的异常是这个地图造成的。,8,,
#,8,机器人,左,不过，看起来不像是传感器元件老化的样子。,9,,
#,9,机器人,左,它看起来像是一个知识数据库。,10,,
#,10,机器人,左,估计把数据库重置一下，应该就差不多了，这次的活儿倒是挺容易的。,11,,
#,11,机器人,左,要去看看吗？,12,,
&,12,机器人,左,去。,15,（强制进入地图关卡）,
&,13,机器人,左,先了解下房间的情况吧。,14,,
#,14,机器人,左,还是算了，先去看看系统故障吧，放着不管还是有点不安。,15,（强制进入地图关卡）,
END,15,,,,,,
