类型,ID,人物,位置,内容,跳转,效果,目标
#,0,尼安德,左,DTB梦境治疗局，欢迎光临。我是这儿的首席治疗师尼安德·华莱士。你可以叫我尼安德。,1,,
#,1,来问诊的女人,左,DTB梦境治疗局？可是，亚当斯先生和我说，这儿是脑科学研究机构，并提供精神诊疗服务。（Brain Diagnosis and Treatment）,2,,
#,2,尼安德,左,亚当斯？亚当斯·阿尔法先生？,3,,
#,3,来问诊的女人,左,是的。他说这里有可能治好我的毛病。,4,,
#,4,来问诊的女人,左,但他没说这是梦境治疗局。而且……入梦治疗不是违反洲际法律的吗？,5,,
#,5,尼安德,左,哈哈，你不是第一个这么说的人。,6,,
#,6,尼安德,左,这里是DTB梦境治疗局，也有入梦治疗。嗯，当然，也违反洲际法律……,7,,
#,7,来问诊的女人,左,……,8,,
#,8,来问诊的女人,左,你不怕我是警察吗？,9,,
#,9,尼安德,左,警察也可以是我的顾客。,10,,
&,10,尼安德,左,来这里的人，多半都没能在医院医治好。,13,,
&,11,尼安德,左,比起洲际法律，患者更关心能不能解决自己的问题。,13,,
&,12,尼安德,左,你总不可能顶着一副憔悴面孔，专程跑来伸张法律正义的吧？,13,,
#,13,来问诊的女人,左,你看起来确实像做精神治疗的人。,14,,
#,14,尼安德,左,在我看来，入梦治疗是目前全世界治疗神经或精神病症最有效的临床治疗方案。如果你的症状确实是这些方面的原因造成的，我认为可以一试。,15,,
#,15,来问诊的女人,左,我可以相信你。,16,,
#,16,来问诊的女人,左,那么，你首先得保证，入梦治疗不会对我的肉体和精神造成损伤。,17,,
#,17,尼安德,左,无法保证。,18,,
#,18,来问诊的女人,左,我得确保今天不是我人生中的最后一天。,19,,
#,19,来问诊的女人,左,我还……有事要做。,20,,
#,20,尼安德,左,没有人在这里度过生命的最后一天。,21,,
#,21,尼安德,左,至少，梦境治疗局在这栋大楼成立以来，没有发生过这种事。,22,,
#,22,来问诊的女人,左,还有一件事，关于入梦的个人隐私安全问题。我的梦境和个人隐私是否会流出？,23,,
#,23,尼安德,左,梦境是一次性产物，无法重复读取，也无法存储。,24,,
#,24,来问诊的女人,左,我如何确认？,25,,
#,25,尼安德,左,千度两下，你就知道。,26,,
#,26,尼安德,左,另外，在诊疗开始前，有两点要求需要你同意。,27,,
#,27,尼安德,左,第一，诊疗过程会全程记录。梦境治疗局需要保留你的诊断数据，用于脑科学研究，精神诊疗服务优化，入梦治疗体系升级。,28,,
#,28,尼安德,左,第二，在接受入梦治疗后，直到我们确认你的健康状况没有受到影响之前，你必须定期来复诊，并提交你的体检结果。,29,,
#,29,来问诊的女人,左,我接受。,30,,
#,30,尼安德,左,（我交给眼前的女人一份电子协议，她看得很慢，再三确认没有问题后，在电子屏上按下了指纹）,31,,
#,31,尼安德,左,（靠，一开工就遇上了这么麻烦的客人。）,32,,
#,32,尼安德,左,怀疑阶段到此为止。容我再说一次，DTB梦境治疗局，欢迎你。,33,,
#,33,尼安德,左,（她依旧一副颓然的样子，看样子还是没有寄希望于我。）,34,,
#,34,尼安德,左,名字，年龄。,35,,
#,35,来问诊的女人,左,妮娜·奥蜜可，32岁。,36,,
