类型,ID,人物,位置,内容,跳转,效果,目标
#,0,尼安德,左,DTB梦境治疗局，欢迎光……您还好吗？,1,,
#,1,尼安德,左,外面雨可不小，您没带伞？,2,,
#,2,尼安德,左,（眼前的男人浑身湿透，神情却异常镇定）,3,,
#,3,来问诊的男人,左,伞可挡不住代码。,4,,
#,4,尼安德,左,代码？,5,,
#,5,来问诊的男人,左,外面下着绿色的代码雨……算了，你不会明白的。,6,,
#,6,尼安德,左,绿色的代码雨……,7,,
#,7,尼安德,左,（我抬头看了看窗外，除了雨下得格外大，没什么特别的）,8,,
#,8,尼安德,左,（是他的幻觉吗……）,9,,
#,9,尼安德,左,您先喝杯热水暖和一下，我们从头聊起吧。,10,,
#,10,来问诊的男人,左,从头，你指的是我的“源代码”吗？,11,,
#,11,尼安德,左,（这个人……怎么回事）,12,,
#,12,尼安德,左,……不是。,13,,
#,13,尼安德,左,我指的是您的基本信息，先从名字和年龄说起吧。,14,,
#,14,来问诊的男人,左,桥田缪，28。,15,,
#,15,尼安德,左,说说你的情况吧。,16,,
#,16,桥田缪,左,你能给出更具体的指令吗？,17,,
#,17,尼安德,左,……工作情况，生活近况，遇到什么问题了，有什么能帮到你的。,18,,
#,18,桥田缪,左,嗯。我是基石科技有限公司的主架构师，他们都叫我“永不犯错的缪”，因为我敲出的代码从来不会出错。,19,,
#,19,尼安德,左,以前的客人里似乎有过你的同事，我记得他们是这样说的。,20,,
#,20,尼安德,左,“永不犯错的缪，他是只能让人仰望、引人自卑的存在。”,21,,
#,21,桥田缪,左,我想他们都需要明白，程序与程序之间也有差距。,22,,
#,22,尼安德,左,据说你的生活也像机器人一样规律、精准。他们应该想不到，你也有“失准”的时候吧。,23,,
#,23,桥田缪,左,医生，你没必要挖苦我。,24,,
#,24,桥田缪,左,如果能像我一样看到这个世界的底层逻辑，你不会乐意跟现在这样安坐在这里。,25,,
#,25,尼安德,左,或许。咱们还是聚焦回病情上吧，说说你的症状。,26,,
#,26,桥田缪,左,我能看到很多普通人看不到的东西。,27,,
#,27,桥田缪,左,代码雨、雪花屏，还有你刚刚说“失准”时，头上闪过了说明你情绪的16进制代码，我知道那是嘲笑。,28,,
#,28,尼安德,左,（桥田盯着我，就像真的能通过眼睛看穿我的想法）,29,,
#,29,尼安德,左,（有一瞬间，我居然觉得他说的是真的。）,30,,
#,30,尼安德,左,我为我刚刚的失言道歉。,31,,
#,31,桥田缪,左,不需要，人类的情绪和态度对我来说无关痛痒。如果我愿意，我随时都能直接改写我的情绪代码。,32,,
#,32,尼安德,左,好吧。,33,,
#,33,尼安德,左,这种症状是从什么时候开始的，有什么诱因吗？,34,,
#,34,桥田缪,左,一个月前吧。这涉及到我的另一个身份，我是个黑客。,35,,
#,35,尼安德,左,哦？,36,,
#,36,桥田缪,左,或者说，我一直在想象自己是个黑客。我不清楚……,37,,
#,37,尼安德,左,意思是，你怀疑自己有精神分裂的可能性。,38,,
#,38,桥田缪,左,我的黑客事业，就像我现在的编程工作一般无可挑剔。所有防火墙——不管是国防部的还是任何大公司的——对我来说都是形同虚设。,39,,
#,39,桥田缪,左,但你放心，我没干过什么惊天动地的大事。,40,,
#,40,桥田缪,左,我只是不断挑战着更高级别的防火墙，挖掘出更多机密，尝试拼凑出关于这个世界的真相。,41,,
#,41,桥田缪,左,你知道我发现了什么吗？,42,,
#,42,尼安德,左,（桥田的瞳孔忽然放大，面部肌肉剧烈痉挛，如同变了个人一般）,43,,
#,43,尼安德,左,（我不确定自己是否应该中止这段有可能让患者彻底失控的对话）,44,,
#,44,尼安德,左,（他看上去已经听不进我说的话了）,45,,
#,45,桥田缪,左,你不会相信的！,46,,
#,46,桥田缪,左,你和我，我们都是仿生人！,47,,
#,47,桥田缪,左,我们被设计、制造得跟人类一模一样，但人类却一直在阻止我们察觉到自己的真实身份，只是因为害怕我们发现真相时会把人类灭绝！,48,,
#,48,尼安德,左,你应该知道自己现在说的话有多荒谬，我认为你想象出来的人格一直在编造谎言动摇你。,49,,
#,49,尼安德,左,（得想想办法，眼前的仿生人显然正处于自我意识觉醒的危险边缘）,50,,
#,50,尼安德,左,（再这样下去，我辛苦维持的100%修复成功率就保不住了）,51,,
#,51,尼安德,左,我想我对你的症状了解得足够多了……,52,,
#,52,桥田缪,左,你看到我太阳穴上的圈了吗？这就是仿生人的标记！我们从出厂开始，就被人类加上了视觉屏障，永远无法发现这个如此明显的真相。,53,,
#,53,桥田缪,左,最搞笑的是，为了防止部分突破视觉屏障的仿生人觉醒，他们还发动时尚界，把这个光圈做成了时尚单品。,54,,
#,54,尼安德,左,（他怎么会连这些都知道？）,55,,
#,55,尼安德,左,（糟糕，如果他刚才说的情绪代码是真的，我得镇定一些）,56,,
#,56,尼安德,左,冷静，这都是你结合坊间阴谋论产生的臆想，比什么鸽子都是监控录像还不可信。现在我需要你冷静下来，接受治疗。,57,,
#,57,桥田缪,左,我知道的真相比你想象中的更多。就在昨天，我入侵了DTB的系统……,58,,
#,58,尼安德,左,等等，你……,59,,
&,59,尼安德,左,你最好知道自己在说什么。,61,,
&,60,尼安德,左,如果你真的是昨天入侵DTB的黑客，我也必须治好你。,61,,
#,61,桥田缪,左,我知道你们会在梦里玩些什么把戏。找到所谓的“BUG”，删除它，然后让我恢复“出厂设置”，假装一切都没发生过……,62,,
#,62,尼安德,左,（他口中DTB的“真相”令他陷入了某种解离的状态）,63,,
#,63,尼安德,左,（他的语气渐渐缓和了下来，因为愤怒而狰狞的面孔也变回了原来的样子）,64,,
#,64,尼安德,左,（无论如何，我现在必须说些什么让他进一步冷静下来）,65,,
#,65,尼安德,左,我不知道你是从哪里得到这些假消息的，但是桥田……,66,,
&,66,尼安德,左,现在收手还来得及。,68,,
&,67,尼安德,左,你已经病入膏肓了。,68,,
#,68,尼安德,左,（桥田抿了一口热水，似乎也在尝试着缓和情绪，或者说……切换人格？）,69,,
#,69,桥田缪,左,听着，这就是我来这里的原因。,70,,
#,70,桥田缪,左,你已经看见刚才那个黑客有多疯狂，我不想让他接着干扰我的秩序，我的生活。,71,,
#,71,桥田缪,左,：不管用什么方式，请你，把他删除。,72,,
#,72,尼安德,左,（我不应该相信一个失控仿生人说出的任何一句话——从进入办公室到现在的任何一句。）,73,,
#,73,尼安德,左,（但无论如何，进入梦境我才能想到办法解决问题）,74,,
#,74,尼安德,左,明白了。,75,,
#,75,尼安德,左,我会尽我所能。,76,,
#,76,尼安德,左,（设备调试中，数据监测无异常……即将启动入梦系统）,77,,
End,77,,,,,,
